scenario,strategy,benchmark,metric,value_a,value_b,diff,ci_low,ci_high,p_value,significant
high_tc,whalley_wilmott,delta,var_95,-7.374925277759153,-4.224856081856184,-3.1500691959029687,-3.6679791110394024,-2.4229805689172017,0.0,True
high_tc,whalley_wilmott,delta,cvar_95,-8.019454756964874,-4.918171276967226,-3.1012834799976483,-3.640135445758927,-2.4707133691486307,0.0,True
high_tc,whalley_wilmott,delta,max_loss,-9.441953421852674,-8.178474242572548,-1.2634791792801252,-3.958838414306329,-0.3217539879326665,0.0002,True
high_tc,whalley_wilmott,delta,pct_loss,0.46444444444444444,0.9911111111111112,-0.5266666666666667,-0.5733333333333334,-0.4800000000000001,0.0,True
high_tc,ppo,delta,mean_pnl,-2.184794965878324,-2.220261047845504,0.03546608196717971,-0.03774025476248011,0.10832911040594337,0.3434,False
high_tc,ppo,delta,std_pnl,1.4653716334801201,1.1077972414049948,0.3575743920751253,0.2936477042265267,0.4232381974653048,0.0,True
high_tc,ppo,delta,sharpe,-1.4909494055713641,-2.0042124721574464,0.5132630665860822,0.40487842651442546,0.6333839158388104,0.0,True
high_tc,ppo,delta,var_95,-4.78552412325112,-4.224856081856184,-0.5606680413949361,-0.8700143617151257,-0.3643093487303022,0.0,True
high_tc,ppo,delta,cvar_95,-5.5051966042551115,-4.918171276967226,-0.5870253272878854,-0.8895458683849831,-0.3006964350338567,0.0002,True
high_tc,ppo,delta,max_loss,-8.360508244128638,-8.178474242572548,-0.18203400155609017,-0.9725244075250865,-0.09677195493073754,0.0224,True
high_tc,ppo,delta,pct_loss,0.94,0.9911111111111112,-0.05111111111111122,-0.07333333333333325,-0.0311111111111112,0.0,True
high_tc,sac,delta,mean_pnl,-3.3863564818355796,-2.220261047845504,-1.1660954339900758,-1.364533919094793,-0.9723832052572289,0.0,True
high_tc,sac,delta,std_pnl,2.416796028954238,1.1077972414049948,1.308998787549243,1.1330350496229757,1.4958335501048516,0.0,True
high_tc,sac,delta,sharpe,-1.401175954141598,-2.0042124721574464,0.6030365180158483,0.43738354445204813,0.7789171936982416,0.0,True
high_tc,sac,delta,var_95,-7.800130199915746,-4.224856081856184,-3.5752741180595624,-4.1744447939878775,-2.9456803432534695,0.0,True
high_tc,sac,delta,cvar_95,-8.941607921078887,-4.918171276967226,-4.023436644111661,-4.89049353416504,-3.1890924395076423,0.0,True
high_tc,sac,delta,max_loss,-14.367360640459395,-8.178474242572548,-6.188886397886847,-8.88424563291305,-1.6121388872748383,0.0,True
high_tc,sac,delta,pct_loss,0.9511111111111111,0.9911111111111112,-0.040000000000000036,-0.06000000000000005,-0.022222222222222143,0.0,True
vol_mismatch,no_hedge,delta,mean_pnl,-1.7681872945053627,-1.6381089653193541,-0.1300783291860086,-0.7603445487299435,0.4679393650356718,0.6732,False
vol_mismatch,no_hedge,delta,std_pnl,6.587749449092356,1.6415024132628613,4.9462470358294945,4.281892132651455,5.581829885167231,0.0,True
vol_mismatch,no_hedge,delta,sharpe,-0.2684053648623475,-0.9979327182731569,0.7295273534108093,0.6191270303667922,0.8496832448227416,0.0,True
vol_mismatch,no_hedge,delta,var_95,-15.7335618967147,-4.4970057935508105,-11.23655610316389,-13.249822910562743,-8.488932338603592,0.0,True
vol_mismatch,no_hedge,delta,cvar_95,-20.48451192046009,-5.6853038680967805,-14.799208052363308,-17.273330313495904,-11.971991017831156,0.0,True
vol_mismatch,no_hedge,delta,max_loss,-31.6656593453855,-9.82891617025983,-21.83674317512567,-25.237916922346322,-15.837350323684156,0.0,True
vol_mismatch,no_hedge,delta,pct_loss,0.42444444444444446,0.8444444444444444,-0.42,-0.4733333333333334,-0.36666666666666664,0.0,True
vol_mismatch,random,delta,mean_pnl,-4.03543481255882,-1.6381089653193541,-2.3973258472394656,-3.258052164093221,-1.5591633998273358,0.0,True
vol_mismatch,random,delta,std_pnl,9.167592793684312,1.6415024132628613,7.526090380421451,6.695641274198172,8.386472515765375,0.0,True
vol_mismatch,random,delta,sharpe,-0.4401847795136461,-0.9979327182731569,0.5577479387595108,0.43627904169320386,0.6844772856585712,0.0,True
vol_mismatch,random,delta,var_95,-20.654120139997477,-4.4970057935508105,-16.15711434644667,-18.347202702444754,-12.886309770034032,0.0,True
vol_mismatch,random,delta,cvar_95,-28.05759509037067,-5.6853038680967805,-22.372291222273887,-26.355322272336604,-18.23779978147004,0.0,True
vol_mismatch,random,delta,max_loss,-49.66998285232691,-9.82891617025983,-39.84106668206708,-43.24224042928773,-23.30718586170537,0.0,True
vol_mismatch,random,delta,pct_loss,0.6533333333333333,0.8444444444444444,-0.19111111111111112,-0.24222222222222223,-0.13777777777777778,0.0,True
vol_mismatch,whalley_wilmott,delta,mean_pnl,-1.589601678527842,-1.6381089653193541,0.04850728679151217,-0.15071819544188417,0.2441979918428404,0.648,False
vol_mismatch,whalley_wilmott,delta,std_pnl,2.4666441382241464,1.6415024132628613,0.8251417249612851,0.641980952370935,1.0024037108509138,0.0,True
vol_mismatch,whalley_wilmott,delta,sharpe,-0.6444389986762628,-0.9979327182731569,0.35349371959689413,0.2545609946489329,0.4560348329995127,0.0,True
vol_mismatch,whalley_wilmott,delta,var_95,-5.4777385862826815,-4.4970057935508105,-0.980732792731871,-1.606589547755448,-0.37264208110505276,0.0078,True
vol_mismatch,whalley_wilmott,delta,cvar_95,-6.676926727449743,-5.6853038680967805,-0.9916228593529626,-1.9180230732334411,-0.0790354479755731,0.0366,True
vol_mismatch,whalley_wilmott,delta,max_loss,-10.45759723514017,-9.82891617025983,-0.6286810648803396,-4.029854812100993,2.1062085900575553,0.4716,False
vol_mismatch,whalley_wilmott,delta,pct_loss,0.6777777777777778,0.8444444444444444,-0.16666666666666663,-0.21111111111111114,-0.12222222222222212,0.0,True
vol_mismatch,ppo,delta,mean_pnl,-1.6354793349545096,-1.6381089653193541,0.0026296303648445374,-0.11296408198853647,0.12054962769920716,0.9708,False
vol_mismatch,ppo,delta,std_pnl,2.1442055831074276,1.6415024132628613,0.5027031698445663,0.39954618042889445,0.6128467761960152,0.0,True
vol_mismatch,ppo,delta,sharpe,-0.7627437162925109,-0.9979327182731569,0.23518900198064596,0.16114908544334014,0.3182199050712259,0.0,True
